         1.0000           0.0000
         0.9500           0.0029
         0.9000           0.0079
         0.8500           0.0138
         0.8000           0.0203
         0.7500           0.0270
         0.7000           0.0335
         0.6500           0.0397
         0.6000           0.0455
         0.5500           0.0506
         0.5000           0.0548
         0.4500           0.0580
         0.4000           0.0598
         0.3500           0.0598
         0.3000           0.0584
         0.2500           0.0558
         0.2000           0.0517
         0.1500           0.0462
         0.1000           0.0387
         0.0750           0.0339
         0.0500           0.0281
         0.0250           0.0204
         0.0125           0.0149
         0.0075           0.0118
         0.0050           0.0098
         0.0000           0.0000
         0.0050          -0.0098
         0.0075          -0.0118
         0.0125          -0.0149
         0.0250          -0.0204
         0.0500          -0.0281
         0.0750          -0.0339
         0.1000          -0.0387
         0.1500          -0.0462
         0.2000          -0.0517
         0.2500          -0.0558
         0.3000          -0.0584
         0.3500          -0.0598
         0.4000          -0.0598
         0.4500          -0.0580
         0.5000          -0.0548
         0.5500          -0.0506
         0.6000          -0.0455
         0.6500          -0.0397
         0.7000          -0.0335
         0.7500          -0.0270
         0.8000          -0.0203
         0.8500          -0.0138
         0.9000          -0.0079
         0.9500          -0.0029
         1.0000           0.0000
